start
ModelConfig(embedding_size=1024, num_layers=32, num_heads=16, ffn_scale_ratio=0.5, max_context_length=8192, vocab_size=200019, debug=False, proj_ratio_min=2, proj_ratio=10, num_keep_boundary_chunk=2)
DataConfig(batch_size=50, block_size=64, buffer_size=10, tokenizer_name='gpt-4o', dataset_dir='datasets/finewebedu/CC-MAIN-2024-10', truncate_limit=1000000000, shuffle_tokens=False, mask_random=False)
TrainConfig(learning_rate=0.001, dtype='bfloat16', optimizer_options=None, exp_name='experiment', exp_num=6, save_interval_epoch=10, save_interval_iter=1000, print_interval_iteration=100, eval_interval_iteration=250, num_epochs=200, max_total_iters=10000000, num_warmup_steps=4000, gradient_checkpointing=True, value_clip_grad_norm=0.5, lr_step=1000, print_token_len=64)
model configure  3.9sec
configure optimizer during  0.4sec
372.90496 M Params
Transformer(
  (transformer): ModuleDict(
    (wte): Embedding(200019, 1024)
    (h): ModuleList(
      (0-31): 32 x Block(
        (ln_1): LayerNorm((1024,), eps=1e-05, elementwise_affine=True)
        (attn): CausalSelfAttention(
          (c_attn): Linear(in_features=1024, out_features=3072, bias=True)
          (c_proj): Linear(in_features=1024, out_features=1024, bias=True)
        )
        (ln_2): LayerNorm((1024,), eps=1e-05, elementwise_affine=True)
        (mlp): MLP(
          (c_fc): Linear(in_features=1024, out_features=512, bias=True)
          (gelu): GELU(approximate='none')
          (c_proj): Linear(in_features=512, out_features=1024, bias=True)
        )
      )
    )
    (ln_f): LayerNorm((1024,), eps=1e-05, elementwise_affine=True)
  )
  (lm_head): Linear(in_features=1024, out_features=200019, bias=False)
)
prepare dataset
load Parquet Data 1.13sec
configure DataLoaderLite during  0.0 sec
start train
/home/ubuntu/miniconda3/envs/gguf/lib/python3.9/site-packages/torch/utils/checkpoint.py:464: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.4 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  warnings.warn(

Iter      0/10000000, B  1, 0.0 Mt | Loss 12.395371, PPL 241680.39  0.000000 | F 390.6 ms, B 301.5 ms | 4.62 Kt/s | O:  infect a new computer. Downloading and running software from un | P: stom폰 Veracruzroonroonühlen ciudadano juzлат雅黑XXX(hero Bắc الوجه  ||
Iter      1/10000000, B  2, 0.0 Mt | Loss 12.387422, PPL 239766.70  2.869547 | F 101.2 ms, B 234.4 ms | 7.64 Kt/s | O: child’s need for movement is answered by daily activities within | P: surdo earnest ukuthiישרא repreh Oh Mur Mur Oh>[] الانترنتOppGRAY  ||
Iter      2/10000000, B  3, 0.0 Mt | Loss 12.402637, PPL 243442.62  2.905895 | F  80.3 ms, B 208.0 ms | 11.02 Kt/s | O: ution/era, mass faunicide (1840CE), etc.\nA brief history of the | P: ecustom զ elő.motor ڌજરાત ák avei scores టీ comme,@(DBCant Study  ||
Iter      3/10000000, B  4, 0.0 Mt | Loss 12.400176, PPL 242844.38  2.801947 | F  71.2 ms, B 217.8 ms | 10.99 Kt/s | O:  or is just a small one, the customers have an equal opportunity | P:  collided Alaska относятся_L tree არისstuhl Vigoplreadyready Jet  ||
Iter      4/10000000, B  5, 0.0 Mt | Loss 12.415879, PPL 246687.91  2.788911 | F  75.8 ms, B 202.4 ms | 11.42 Kt/s | O: laristra/flecsi\n- OpenAtom: OpenAtom is a software for studying | P: nvironmentsweis filmmaker apprenticeship.tc Louis дома прям.book  ||
Iter      5/10000000, B  6, 0.0 Mt | Loss 12.396954, PPL 242063.08  2.900668 | F  77.0 ms, B 205.2 ms | 11.24 Kt/s | O:  directions and shot descriptions. For example, if the camera is | P: ioneren lessencheckpoint desligupal bans comme стоят��Canttussen  ||
Iter      6/10000000, B  7, 0.0 Mt | Loss 12.390703, PPL 240554.80  2.744127 | F  79.0 ms, B 245.4 ms | 9.81 Kt/s | O: tps://howard.emuseum.com/people/1001/thomas-w-hunster/objects\nW | P: _platform issusёзmomняў(visitor princípio kako gracefulisis Sons  ||
Iter      7/10000000, B  8, 0.0 Mt | Loss 12.381329, PPL 238310.23  2.833939 | F  71.7 ms, B 218.6 ms | 10.94 Kt/s | O: Weekly Grocery Shopping\nIf you fail to plan your weekly grocery | P: Datatypearquivo Bautstudyרע populationેઠ voz;\n\n/// Wiisgiفيروس  ||
Iter      8/10000000, B  9, 0.0 Mt | Loss 12.357929, PPL 232798.67  3.002935 | F  79.6 ms, B 217.4 ms | 10.70 Kt/s | O: s in the years to come.\nWhat makes Afrobeat’s grooves danceable | P: igərzkтие pillsizon არის/cart directorawirit(D identified तस्वीर  ||
Iter      9/10000000, B 10, 0.0 Mt | Loss 12.367890, PPL 235129.19  2.991292 | F  66.1 ms, B 216.6 ms | 11.23 Kt/s | O:  to continue addressing contemporary social and political issues | P: क服 absurdo性质iais depósito绑 справа iq iqages TRAN_ASCCalculator对象  ||
Iter     10/10000000, B 11, 0.0 Mt | Loss 12.356074, PPL 232367.25  2.938205 | F  89.0 ms, B 198.8 ms | 11.04 Kt/s | O:  that measures how quickly erythrocytes (red blood cells) settle | P: аваjs еиҭеиҳәеитLatestidee dinersloads KenyaാരിFEB 상담 erfüllt 상담  ||
